"State","County","Year","Days with AQI","Good Days","Moderate Days","Unhealthy for Sensitive Groups Days","Unhealthy Days","Very Unhealthy Days","Hazardous Days","Max AQI","90th Percentile AQI","Median AQI","Days CO","Days NO2","Days Ozone","Days SO2","Days PM2.5","Days PM10"
"California","Contra Costa",2020,215,162,47,2,4,0,0,164,58,40,2,2,121,0,90,0
"California","Del Norte",2020,170,146,18,3,2,1,0,220,54,30,0,0,0,0,170,0
"California","El Dorado",2020,213,167,45,1,0,0,0,101,67,41,0,0,209,0,2,2
"California","Fresno",2020,274,87,135,36,16,0,0,198,122,64,0,1,175,0,91,7
"California","Glenn",2020,213,185,28,0,0,0,0,82,53,40,0,0,163,0,47,3
"California","Humboldt",2020,273,266,7,0,0,0,0,64,35,27,0,0,223,1,35,14
"California","Imperial",2020,197,130,65,2,0,0,0,124,71,42,0,0,36,0,134,27
"California","Inyo",2020,274,163,94,14,1,0,2,458,89,46,0,0,222,0,1,51
"California","Kern",2020,214,89,116,8,1,0,0,197,90,55,1,0,140,0,67,6
"California","Kings",2020,305,93,169,36,6,0,1,543,109,64,0,0,146,0,90,69
"California","Lake",2020,172,172,0,0,0,0,0,48,40,30,0,0,165,0,5,2
"California","Los Angeles",2020,183,58,87,26,10,2,0,206,140,62,1,17,105,0,58,2
"California","Madera",2020,212,122,87,3,0,0,0,143,71,48,0,0,153,0,59,0
"California","Marin",2020,215,200,13,2,0,0,0,114,45,32,2,5,131,0,77,0
"California","Mariposa",2020,244,153,79,9,3,0,0,187,84,46,0,0,220,0,19,5
"California","Mendocino",2020,91,74,17,0,0,0,0,66,56,35,0,0,32,0,59,0
"California","Merced",2020,274,147,102,13,12,0,0,183,99,49,0,0,173,0,101,0
"California","Mono",2020,182,138,35,3,1,0,5,1928,64,26,0,0,0,0,151,31
"California","Monterey",2020,183,172,11,0,0,0,0,83,45,35,1,0,151,0,30,1
"California","Napa",2020,215,192,18,5,0,0,0,140,52,34,2,0,146,0,67,0
"California","Nevada",2020,305,214,59,15,13,4,0,252,108,42,0,0,203,0,102,0
"California","Orange",2020,183,120,55,5,3,0,0,156,79,44,1,6,131,0,45,0
"California","Placer",2020,244,143,85,8,7,1,0,222,87,48,0,0,173,0,71,0
"California","Plumas",2020,299,173,80,13,20,10,3,340,163,44,0,0,0,0,299,0
"California","Riverside",2020,305,69,170,51,12,1,2,576,126,71,0,0,174,0,69,62
"California","Sacramento",2020,214,146,65,2,1,0,0,155,74,44,1,2,158,0,53,0
"California","San Benito",2020,244,226,17,1,0,0,0,105,49,39,0,0,228,0,14,2
"California","San Bernardino",2020,244,57,123,40,19,5,0,212,150,74,0,5,180,0,55,4
"California","San Diego",2020,214,67,138,7,2,0,0,154,84,60,1,2,92,0,118,1
"California","San Francisco",2020,215,173,41,1,0,0,0,111,55,35,2,8,98,0,107,0
"California","San Joaquin",2020,274,185,73,4,12,0,0,195,83,44,0,0,151,0,107,16
"California","San Luis Obispo",2020,182,132,50,0,0,0,0,93,64,43,0,0,131,0,40,11
"California","San Mateo",2020,215,194,19,2,0,0,0,141,49,32,2,6,124,0,83,0
"California","Santa Barbara",2020,245,218,27,0,0,0,0,93,52,39,1,0,208,0,36,0
"California","Santa Clara",2020,215,172,37,4,2,0,0,163,64,39,2,7,127,0,79,0
"California","Santa Cruz",2020,182,181,1,0,0,0,0,54,40,33,0,0,139,0,43,0
"California","Shasta",2020,241,220,20,1,0,0,0,115,50,40,0,0,236,0,5,0
