https://www.transtats.bts.gov/fuel.asp,,,,,,,,,,
Year,Month,Domestic,,,International,,,Total,,
,,Consumption,Cost,Cost per Gallon,Consumption,Cost,Cost per Gallon,Consumption,Cost,Cost per Gallon
,,(million gallons),(million dollars),(dollars),(million gallons),(million dollars),( dollars),(million gallons),(million dollars),(dollars)
2006 Total,,"13,019.40","25,105.40",1.93,"5,220.30","10,535.20",2.02,"18,239.70","35,640.60",1.95
% Chg over 2005,,-1.99%,15.78%,18.14%,3.57%,22.49%,18.27%,-0.46%,17.69%,18.24%
2007,January,"1,062.20","1,929.70",1.82,431.5,821.4,1.9,"1,493.70","2,751.00",1.84
2007,February,970.1,"1,689.20",1.74,382.6,681.1,1.78,"1,352.60","2,370.30",1.75
2007,March,"1,113.20","2,019.10",1.81,450.7,838.4,1.86,"1,563.90","2,857.60",1.83
2007,April,"1,075.90","2,082.10",1.94,436.6,851.8,1.95,"1,512.50","2,933.80",1.94
2007,May,"1,101.80","2,248.20",2.04,456.8,985,2.16,"1,558.50","3,233.20",2.07
2007,June,"1,114.50","2,255.30",2.02,468.4,982.2,2.1,"1,582.90","3,237.50",2.05
2007,July,"1,143.20","2,391.20",2.09,499.3,"1,062.00",2.13,"1,642.40","3,453.30",2.1
2007,August,"1,157.20","2,455.40",2.12,496.1,"1,093.20",2.2,"1,653.30","3,548.60",2.15
2007,September,"1,038.40","2,183.80",2.1,455,977.7,2.15,"1,493.40","3,161.40",2.12
2007,October,"1,092.00","2,404.10",2.2,457.3,"1,044.10",2.28,"1,549.40","3,448.30",2.23
2007,November,"1,047.50","2,541.90",2.43,435.1,"1,114.00",2.56,"1,482.50","3,655.90",2.47
2007,December,"1,083.00","2,699.90",2.49,458.6,"1,234.10",2.69,"1,541.60","3,934.00",2.55
2007 Total,,"12,998.80","26,899.90",2.07,"5,428.00","11,685.00",2.15,"18,426.80","38,584.90",2.09
% Chg over 2006,,-0.16%,7.15%,7.32%,3.98%,10.91%,6.67%,1.03%,8.26%,7.16%
2008,January,"1,071.60","2,747.80",2.56,451.1,"1,229.40",2.73,"1,522.70","3,977.20",2.61
2008,February,"1,025.70","2,613.40",2.55,418.4,"1,119.10",2.67,"1,444.10","3,732.50",2.58
2008,March,"1,117.90","3,197.00",2.86,461.7,"1,374.10",2.98,"1,579.60","4,571.10",2.89
2008,April,"1,059.60","3,143.80",2.97,465.3,"1,443.60",3.1,"1,525.00","4,587.50",3.01
2008,May,"1,087.70","3,465.60",3.19,481.7,"1,602.90",3.33,"1,569.40","5,068.50",3.23
2008,June,"1,094.80","3,717.10",3.4,486.4,"1,752.10",3.6,"1,581.20","5,469.20",3.46
2008,July,"1,133.00","4,184.20",3.69,510.8,"2,093.80",4.1,"1,643.80","6,278.10",3.82
2008,August,"1,101.50","3,747.00",3.4,502.4,"1,919.30",3.82,"1,603.90","5,666.30",3.53
2008,September,925.3,"3,083.80",3.33,448.8,"1,603.30",3.57,"1,374.10","4,687.10",3.41
2008,October,968.3,"3,088.50",3.19,444,"1,620.90",3.65,"1,412.30","4,709.30",3.33
2008,November,909.1,"2,276.20",2.5,411.1,"1,088.50",2.65,"1,320.20","3,364.70",2.55
2008,December,975,"1,930.60",1.98,427.2,926.3,2.17,"1,402.20","2,856.90",2.04
2008 Total,,"12,469.40","37,194.90",2.98,"5,508.90","17,773.50",3.23,"17,978.40","54,968.40",3.06
% Chg over 2007,,-4.07%,38.27%,44.14%,1.49%,52.11%,49.87%,-2.43%,42.46%,46.01%
2009,January,922.1,"1,620.40",1.76,416.7,713.6,1.71,"1,338.90","2,334.00",1.74
2009,February,849.6,"1,567.30",1.84,369.6,677,1.83,"1,219.20","2,244.30",1.84
2009,March,966.3,"1,587.00",1.64,416.5,686.5,1.65,"1,382.80","2,273.50",1.64
2009,April,935.7,"1,629.30",1.74,417.3,727.4,1.74,"1,353.00","2,356.70",1.74
2009,May,949.3,"1,648.60",1.74,428.2,734,1.71,"1,377.40","2,382.60",1.73
2009,June,973.1,"1,853.40",1.9,470,855.6,1.82,"1,443.10","2,709.00",1.88
2009,July,"1,026.30","1,961.20",1.91,494.7,930.9,1.88,"1,521.00","2,892.10",1.9
2009,August,969.5,"1,965.40",2.03,458.6,914.9,1.99,"1,428.10","2,880.30",2.02
2009,September,870.8,"1,735.90",1.99,410.3,828.1,2.02,"1,281.10","2,564.00",2
2009,October,913.4,"1,821.30",1.99,411.4,798,1.94,"1,324.80","2,619.30",1.98
2009,November,845,"1,812.70",2.15,384.9,796.1,2.07,"1,229.90","2,608.80",2.12
2009,December,926.5,"1,965.90",2.12,408.3,852.4,2.09,"1,334.80","2,818.40",2.11
2009 Total,,"11,147.40","21,168.50",1.9,"5,086.60","9,514.40",1.87,"16,234.00","30,682.90",1.89
% Chg over 2008,,-10.60%,-43.09%,-36.34%,-7.67%,-46.47%,-42.02%,-9.70%,-44.18%,-38.18%
2010,January,872.7,"1,931.60",2.21,410,873.9,2.13,"1,282.70","2,805.50",2.19
2010,February,786.9,"1,696.70",2.16,361.5,771,2.13,"1,148.40","2,467.70",2.15
2010,March,928.2,"2,046.00",2.2,423.7,911.9,2.15,"1,351.90","2,957.90",2.19
2010,April,900.9,"2,075.20",2.3,410.5,928.4,2.26,"1,311.30","3,003.60",2.29
2010,May,940,"2,189.70",2.33,453.7,"1,040.10",2.29,"1,393.60","3,229.80",2.32
2010,June,959.8,"2,090.80",2.18,468,"1,059.70",2.26,"1,427.70","3,150.50",2.21
2010,July,"1,010.80","2,235.30",2.21,495.9,"1,091.30",2.2,"1,506.70","3,326.60",2.21
2010,August,994.4,"2,214.60",2.23,484.2,"1,069.00",2.21,"1,478.60","3,283.60",2.22
2010,September,914.9,"1,996.90",2.18,439.8,967.7,2.2,"1,354.70","2,964.60",2.19
2010,October,925,"2,177.10",2.35,446.3,"1,042.70",2.34,"1,371.30","3,219.80",2.35
2010,November,891.7,"2,146.20",2.41,411.9,981.6,2.38,"1,303.60","3,127.80",2.4
2010,December,931.5,"2,303.50",2.47,441.1,"1,090.70",2.47,"1,372.60","3,394.20",2.47
2010 Total,,"11,056.70","25,103.40",2.27,"5,246.50","11,828.10",2.25,"16,303.20","36,931.60",2.27
% Chg over 2009,,-0.81%,18.59%,19.56%,3.14%,24.32%,20.53%,0.43%,20.37%,19.85%
2011,January,861.6,"2,272.20",2.64,448.2,"1,169.80",2.61,"1,309.80","3,442.00",2.63
2011,February,794.2,"2,206.10",2.78,395.1,"1,098.90",2.78,"1,189.30","3,305.00",2.78
2011,March,944,"2,858.60",3.03,466.6,"1,396.00",2.99,"1,410.50","4,254.50",3.02
2011,April,909.7,"2,919.70",3.21,460.6,"1,485.80",3.23,"1,370.40","4,405.50",3.21
2011,May,921.9,"2,993.10",3.25,476.1,"1,548.30",3.25,"1,398.00","4,541.40",3.25
2011,June,953.7,"2,984.10",3.13,494.9,"1,524.70",3.08,"1,448.60","4,508.80",3.11
2011,July,978.8,"3,042.70",3.11,528.3,"1,642.50",3.11,"1,507.20","4,685.20",3.11
2011,August,952.9,"2,978.30",3.13,508.1,"1,574.40",3.1,"1,461.00","4,552.70",3.12
2011,September,866.7,"2,752.40",3.18,453.1,"1,394.30",3.08,"1,319.80","4,146.70",3.14
2011,October,895,"2,684.70",3,443.7,"1,330.20",3,"1,338.80","4,014.90",3
2011,November,859.9,"2,664.20",3.1,409.7,"1,233.10",3.01,"1,269.70","3,897.40",3.07
2011,December,889.7,"2,742.90",3.08,436.5,"1,318.80",3.02,"1,326.20","4,061.70",3.06
2011 Total,,"10,828.30","33,099.00",3.06,"5,521.00","16,716.90",3.03,"16,349.30","49,815.90",3.05
% Chg over 2010,,-2.07%,31.85%,34.63%,5.23%,41.33%,34.31%,0.28%,34.89%,34.51%
2012,January,808.5,"2,538.50",3.14,444.2,"1,371.90",3.09,"1,252.70","3,910.40",3.12
2012,February,788.3,"2,559.60",3.25,419.6,"1,323.00",3.15,"1,207.90","3,882.60",3.21
2012,March,891.3,"2,966.70",3.33,473.6,"1,563.00",3.3,"1,364.90","4,529.70",3.32
2012,April,844.9,"2,825.10",3.34,456.5,"1,522.30",3.33,"1,301.50","4,347.40",3.34
2012,May,885,"2,867.40",3.24,487.3,"1,577.00",3.24,"1,372.30","4,444.40",3.24
2012,June,905.7,"2,708.80",2.99,498.2,"1,525.00",3.06,"1,403.90","4,233.80",3.02
2012,July,918.7,"2,716.20",2.96,523.5,"1,531.00",2.92,"1,442.20","4,247.20",2.95
2012,August,904.8,"2,796.60",3.09,516.2,"1,574.10",3.05,"1,421.00","4,370.70",3.08
2012,September,816.1,"2,660.30",3.26,462.3,"1,450.20",3.14,"1,278.40","4,110.50",3.22
2012,October,827.8,"2,728.70",3.3,459.3,"1,490.30",3.25,"1,287.00","4,219.00",3.28
2012,November,795.5,"2,525.90",3.18,433.7,"1,319.50",3.04,"1,229.10","3,845.40",3.13
2012,December,851.5,"2,662.00",3.13,446.9,"1,383.60",3.1,"1,298.40","4,045.60",3.12
2012 Total,,"10,238.00","32,555.90",3.18,"5,621.20","17,630.80",3.14,"15,859.20","50,186.80",3.16
% Chg over 2011,,-5.45%,-1.64%,4.03%,1.81%,5.47%,3.59%,-3.00%,0.74%,3.86%
2013,January,810,"2,530.00",3.12,450.1,"1,394.00",3.1,"1,260.10","3,924.00",3.11
2013,February,737.5,"2,422.40",3.28,403.6,"1,298.50",3.22,"1,141.10","3,720.90",3.26
2013,March,870.8,"2,789.20",3.2,469.1,"1,505.30",3.21,"1,339.90","4,294.50",3.21
2013,April,839.4,"2,560.40",3.05,466,"1,416.40",3.04,"1,305.40","3,976.80",3.05
2013,May,867.8,"2,532.80",2.92,493.1,"1,416.30",2.87,"1,360.90","3,949.10",2.9
2013,June,889.6,"2,579.90",2.9,508.8,"1,469.60",2.89,"1,398.50","4,049.50",2.9
2013,July,926.1,"2,699.10",2.91,539.3,"1,565.00",2.9,"1,465.30","4,264.10",2.91
2013,August,897.4,"2,737.30",3.05,545.5,"1,576.50",2.89,"1,442.90","4,313.80",2.99
2013,September,798.8,"2,464.40",3.09,471.9,"1,410.30",2.99,"1,270.70","3,874.80",3.05
2013,October,839.8,"2,557.60",3.05,486.2,"1,410.80",2.9,"1,326.00","3,968.50",2.99
2013,November,801.9,"2,423.00",3.02,450.9,"1,309.60",2.9,"1,252.70","3,732.60",2.98
2013,December,877.2,"2,656.40",3.03,464.1,"1,391.50",3,"1,341.30","4,047.90",3.02
2013 Total,,"10,156.10","30,952.50",3.05,"5,748.60","17,163.90",2.99,"15,904.70","48,116.40",3.03
% Chg over 2012,,-0.80%,-4.93%,-4.16%,2.27%,-2.65%,-4.81%,0.29%,-4.13%,-4.40%
2014,January,793.7,"2,453.90",3.09,470.3,"1,386.30",2.95,"1,264.10","3,840.20",3.04
2014,February,737.8,"2,246.30",3.04,406.6,"1,210.20",2.98,"1,144.50","3,456.50",3.02
2014,March,882.6,"2,651.20",3,486.5,"1,481.30",3.04,"1,369.00","4,132.40",3.02
2014,April,851.1,"2,536.10",2.98,474.5,"1,391.70",2.93,"1,325.60","3,927.80",2.96
2014,May,874,"2,612.60",2.99,509.5,"1,494.70",2.93,"1,383.50","4,107.30",2.97
2014,June,901.2,"2,677.00",2.97,529.6,"1,543.10",2.91,"1,430.80","4,220.00",2.95
2014,July,928.1,"2,783.30",3,570.1,"1,617.10",2.84,"1,498.20","4,400.50",2.94
2014,August,900.4,"2,685.00",2.98,559,"1,587.90",2.84,"1,459.30","4,272.90",2.93
2014,September,822.5,"2,376.80",2.89,489.6,"1,376.80",2.81,"1,312.20","3,753.60",2.86
2014,October,872.5,"2,349.10",2.69,483.9,"1,291.60",2.67,"1,356.40","3,640.70",2.68
2014,November,830,"2,138.30",2.58,445.1,"1,135.60",2.55,"1,275.10","3,273.90",2.57
2014,December,898.9,"2,080.90",2.32,474.8,"1,104.40",2.33,"1,373.60","3,185.30",2.32
2014 Total,,"10,292.60","29,590.50",2.87,"5,899.50","16,620.70",2.82,"16,192.20","46,211.10",2.85
% Chg over 2013,,1.34%,-4.40%,-5.67%,2.63%,-3.17%,-5.64%,1.81%,-3.96%,-5.66%
2015,January,826.8,"1,600.80",1.94,474.1,964.6,2.03,"1,300.90","2,565.30",1.97
2015,February,755,"1,683.10",2.23,419.8,"1,031.20",2.46,"1,174.80","2,714.40",2.31
2015,March,906.1,"1,818.20",2.01,493,"1,021.10",2.07,"1,399.10","2,839.30",2.03
2015,April,884.1,"1,699.70",1.92,490.4,968.6,1.98,"1,374.40","2,668.30",1.94
2015,May,909.8,"1,901.90",2.09,522.7,"1,077.10",2.06,"1,432.50","2,979.00",2.08
2015,June,939,"1,915.30",2.04,538.8,"1,115.70",2.07,"1,477.80","3,031.00",2.05
2015,July,986.7,"1,803.60",1.83,568.5,"1,047.80",1.84,"1,555.10","2,851.40",1.83
2015,August,957.2,"1,605.20",1.68,557,936.5,1.68,"1,514.20","2,541.70",1.68
2015,September,857.1,"1,365.80",1.59,502.3,783.9,1.56,"1,359.40","2,149.60",1.58
2015,October,901.6,"1,472.60",1.63,491.8,820.2,1.67,"1,393.40","2,292.80",1.65
2015,November,871.9,"1,367.50",1.57,446.7,704.4,1.58,"1,318.60","2,071.90",1.57
2015,December,946.1,"1,366.00",1.44,483.2,727.1,1.5,"1,429.40","2,093.10",1.46
2015 Total,,"10,741.20","19,599.60",1.82,"5,988.30","11,198.10",1.87,"16,729.60","30,797.80",1.84
% Chg over 2014,,4.36%,-33.76%,-36.53%,1.51%,-32.63%,-33.62%,3.32%,-33.35%,-35.50%
2016,January,855.7,"1,103.10",1.29,465.4,570,1.22,"1,321.10","1,673.10",1.27
