https://www.transtats.bts.gov/fuel.asp,,,,,,,,,,
Year,Month,Domestic,,,International,,,Total,,
,,Consumption,Cost,Cost per Gallon,Consumption,Cost,Cost per Gallon,Consumption,Cost,Cost per Gallon
,,(million gallons),(million dollars),(dollars),(million gallons),(million dollars),( dollars),(million gallons),(million dollars),(dollars)
% Chg over 2017,,4.48%,31.96%,26.31%,1.10%,30.58%,29.16%,3.31%,31.49%,27.27%
2019,January,947.7,"1,808.50",1.91,475.8,908.2,1.91,"1,423.50","2,716.70",1.91
2019,February,874.7,"1,741.00",1.99,415.9,819.8,1.97,"1,290.60","2,560.80",1.98
2019,March,"1,031.90","2,087.00",2.02,494.4,"1,003.50",2.03,"1,526.20","3,090.40",2.02
2019,April,992.3,"2,042.20",2.06,493.8,"1,013.00",2.05,"1,486.10","3,055.10",2.06
2019,May,"1,047.10","2,217.30",2.12,536.5,"1,127.80",2.1,"1,583.60","3,345.10",2.11
2019,June,"1,060.10","2,115.10",2,555.2,"1,129.40",2.03,"1,615.30","3,244.50",2.01
2019,July,"1,099.70","2,185.90",1.99,576.1,"1,138.30",1.98,"1,675.80","3,324.10",1.98
2019,August,"1,089.50","2,110.80",1.94,563.9,"1,101.60",1.95,"1,653.30","3,212.30",1.94
2019,September,962.6,"1,888.50",1.96,514,"1,002.10",1.95,"1,476.60","2,890.60",1.96
2019,October,"1,033.00","2,035.00",1.97,508.8,"1,001.20",1.97,"1,541.80","3,036.20",1.97
2019,November,986.5,"1,966.60",1.99,457.7,904.1,1.98,"1,444.20","2,870.70",1.99
2019,December,"1,059.00","2,131.10",2.01,493,979.5,1.99,"1,552.10","3,110.50",2
2019 Total,,"12,184.00","24,328.80",2,"6,085.10","12,128.30",1.99,"18,269.00","36,457.10",2
% Chg over 2018,,2.83%,-4.23%,-6.87%,1.08%,-7.13%,-8.13%,2.24%,-5.21%,-7.29%
2020,January,982,"1,949.50",1.99,478.5,944.7,1.97,"1,460.50","2,894.20",1.98
2020,February,926.6,"1,662.50",1.79,402,739.3,1.84,"1,328.60","2,401.90",1.81
2020,March,847.8,"1,238.70",1.46,320.1,485.3,1.52,"1,167.90","1,723.90",1.48
2020,April,313.1,455.1,1.45,133.8,162.4,1.21,446.9,617.5,1.38
2020,May,297,316.3,1.07,156.4,149.7,0.96,453.4,466.1,1.03
2020,June,393.5,442.9,1.13,164.4,161,0.98,558,603.9,1.08
2020,July,565.7,666.1,1.18,197.4,228.8,1.16,763.1,894.8,1.17
2020,August,589,713.8,1.21,212.5,254.6,1.2,801.4,968.4,1.21
2020,September,508.4,598.8,1.18,219.4,253.3,1.15,727.8,852.1,1.17
2020,October,568.9,650.5,1.14,238.5,267,1.12,807.4,917.5,1.14
2020 YTD,,"5,991.90","8,694.20",1.45,"2,523.00","3,646.20",1.45,"8,515.00","12,340.40",1.45
% Chg over 2019 YTD,,-40.90%,-57.03%,-27.29%,-50.86%,-64.41%,-27.57%,-44.25%,-59.51%,-27.37%
